Expanded Occupation	Total employed (Thousands)	Women Participation (%)	Original Occupation	Category	Category Total employed (Thousands)	Category Women Participation (%)
Laborer	1,930	19.9	Laborers and freight, stock, and material movers, hand	Transportation and material moving occupations	9,445	17.3
Lapping machine tool operator	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Lapping machine tool setter	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Lapping machine tool tender	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Lathe tool operator	14	-	Lathe and turning machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Lathe tool setter	14	-	Lathe and turning machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Lathe tool tender	14	-	Lathe and turning machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Laundry worker	151	68	Laundry and dry-cleaning workers	Production occupations	8,482	28.9
Lawyer	1,137	37.4	Lawyers	Legal occupations	1,827	52.8
Layout worker	12	-	Layout workers, metal and plastic	Production occupations	8,482	28.9
Leather repairer	5	-	Shoe and leather workers and repairers	Production occupations	8,482	28.9
Leather worker	5	-	Shoe and leather workers and repairers	Production occupations	8,482	28.9
Legal assistant	424	86.3	Paralegals and legal assistants	Legal occupations	1,827	52.8
Legal support worker	186	80.2	Miscellaneous legal support workers	Legal occupations	1,827	52.8
Legislator	18	-	Legislators	Management occupations	17,804	39.8
Librarian	194	79.5	Librarians	Education, training, and library occupations	9,215	73
Library technician	40	-	Library technicians	Education, training, and library occupations	9,215	73
